Transmission Line And Free Space Method 18.0.18011201,,,,,,,,,,,,,,
Keysight Technologies,N5232B,MY57181309,A.13.20.12,,,,,,,,,,,
13022222222,8.15E-01,1.86E-01,1.06E+01,7.31E+00,1.00E+00,0.00E+00,,0.663,0.035,0.302,,4.729,14.602,9.873
13078787879,8.07E-01,1.87E-01,1.05E+01,7.47E+00,1.00E+00,0.00E+00,,0.652,0.035,0.313,,4.582,14.574,9.993
13135353535,8.11E-01,1.87E-01,1.05E+01,7.19E+00,1.00E+00,0.00E+00,,0.658,0.035,0.307,,4.664,14.558,9.894
13191919192,8.04E-01,1.87E-01,1.03E+01,7.47E+00,1.00E+00,0.00E+00,,0.647,0.035,0.318,,4.525,14.545,10.020
13248484848,8.08E-01,1.88E-01,1.04E+01,7.02E+00,1.00E+00,0.00E+00,,0.652,0.036,0.312,,4.586,14.495,9.909
13305050505,8.01E-01,1.89E-01,1.02E+01,7.39E+00,1.00E+00,0.00E+00,,0.642,0.036,0.322,,4.462,14.475,10.013
13361616162,8.01E-01,1.89E-01,1.04E+01,7.12E+00,1.00E+00,0.00E+00,,0.642,0.036,0.322,,4.457,14.454,9.997
13418181818,7.99E-01,1.89E-01,1.01E+01,7.30E+00,1.00E+00,0.00E+00,,0.638,0.036,0.326,,4.417,14.449,10.032
13474747475,7.97E-01,1.89E-01,1.03E+01,7.24E+00,1.00E+00,0.00E+00,,0.635,0.036,0.329,,4.380,14.449,10.070
13531313131,7.97E-01,1.90E-01,9.85E+00,7.26E+00,1.00E+00,0.00E+00,,0.635,0.036,0.329,,4.379,14.404,10.025
13587878788,7.90E-01,1.90E-01,1.02E+01,7.46E+00,1.00E+00,0.00E+00,,0.624,0.036,0.340,,4.251,14.421,10.170
13644444444,7.91E-01,1.91E-01,9.78E+00,7.11E+00,1.00E+00,0.00E+00,,0.626,0.036,0.337,,4.274,14.388,10.115
13701010101,7.82E-01,1.90E-01,1.00E+01,7.38E+00,1.00E+00,0.00E+00,,0.612,0.036,0.352,,4.113,14.407,10.294
13757575758,7.86E-01,1.91E-01,9.76E+00,7.11E+00,1.00E+00,0.00E+00,,0.617,0.036,0.346,,4.173,14.384,10.211
13814141414,7.81E-01,1.91E-01,1.01E+01,7.51E+00,1.00E+00,0.00E+00,,0.609,0.037,0.354,,4.083,14.368,10.285
13870707071,7.84E-01,1.91E-01,9.66E+00,7.26E+00,1.00E+00,0.00E+00,,0.614,0.036,0.349,,4.137,14.400,10.263
13927272727,7.74E-01,1.92E-01,9.56E+00,7.54E+00,1.00E+00,0.00E+00,,0.599,0.037,0.364,,3.970,14.354,10.385
13983838384,7.75E-01,1.91E-01,9.46E+00,7.07E+00,1.00E+00,0.00E+00,,0.600,0.036,0.364,,3.980,14.392,10.412
14040404040,7.65E-01,1.91E-01,9.38E+00,7.25E+00,1.00E+00,0.00E+00,,0.585,0.037,0.378,,3.822,14.367,10.545
14096969697,7.70E-01,1.91E-01,9.58E+00,7.03E+00,1.00E+00,0.00E+00,,0.593,0.036,0.370,,3.907,14.391,10.484
14153535354,7.65E-01,1.91E-01,9.16E+00,7.38E+00,1.00E+00,0.00E+00,,0.586,0.036,0.378,,3.829,14.386,10.557
14210101010,7.69E-01,1.91E-01,9.21E+00,7.11E+00,1.00E+00,0.00E+00,,0.591,0.037,0.372,,3.886,14.362,10.476
14266666667,7.59E-01,1.90E-01,8.51E+00,7.13E+00,1.00E+00,0.00E+00,,0.576,0.036,0.387,,3.730,14.414,10.684
14323232323,7.61E-01,1.92E-01,8.94E+00,6.66E+00,1.00E+00,0.00E+00,,0.579,0.037,0.384,,3.759,14.338,10.579
14379797980,7.55E-01,1.90E-01,8.53E+00,6.75E+00,1.00E+00,0.00E+00,,0.570,0.036,0.394,,3.667,14.406,10.739
14436363636,7.60E-01,1.92E-01,8.94E+00,6.60E+00,1.00E+00,0.00E+00,,0.578,0.037,0.385,,3.745,14.336,10.590
14492929293,7.61E-01,1.91E-01,8.37E+00,6.71E+00,1.00E+00,0.00E+00,,0.580,0.036,0.384,,3.763,14.389,10.625
14549494949,7.62E-01,1.92E-01,8.53E+00,6.53E+00,1.00E+00,0.00E+00,,0.581,0.037,0.382,,3.777,14.322,10.545
14606060606,7.62E-01,1.92E-01,8.31E+00,6.41E+00,1.00E+00,0.00E+00,,0.580,0.037,0.383,,3.770,14.318,10.549
14662626263,7.57E-01,1.93E-01,8.38E+00,6.12E+00,1.00E+00,0.00E+00,,0.573,0.037,0.390,,3.698,14.305,10.606
14719191919,7.62E-01,1.93E-01,8.45E+00,6.14E+00,1.00E+00,0.00E+00,,0.580,0.037,0.383,,3.767,14.276,10.509
14775757576,7.60E-01,1.93E-01,8.51E+00,6.21E+00,1.00E+00,0.00E+00,,0.577,0.037,0.386,,3.736,14.285,10.549
14832323232,7.70E-01,1.94E-01,8.61E+00,6.14E+00,1.00E+00,0.00E+00,,0.593,0.038,0.369,,3.902,14.231,10.328
14888888889,7.62E-01,1.93E-01,8.28E+00,6.22E+00,1.00E+00,0.00E+00,,0.581,0.037,0.381,,3.782,14.269,10.488
14945454545,7.67E-01,1.95E-01,8.33E+00,5.92E+00,1.00E+00,0.00E+00,,0.588,0.038,0.374,,3.846,14.202,10.356
15002020202,7.57E-01,1.94E-01,8.38E+00,6.08E+00,1.00E+00,0.00E+00,,0.573,0.037,0.389,,3.699,14.263,10.564
15058585859,7.63E-01,1.95E-01,8.36E+00,5.65E+00,1.00E+00,0.00E+00,,0.583,0.038,0.379,,3.798,14.204,10.407
15115151515,7.59E-01,1.94E-01,8.47E+00,6.15E+00,1.00E+00,0.00E+00,,0.575,0.038,0.387,,3.720,14.257,10.538
15171717172,7.68E-01,1.95E-01,8.33E+00,5.77E+00,1.00E+00,0.00E+00,,0.589,0.038,0.373,,3.865,14.210,10.345
15228282828,7.62E-01,1.94E-01,8.27E+00,6.06E+00,1.00E+00,0.00E+00,,0.580,0.038,0.382,,3.769,14.226,10.457
15284848485,7.64E-01,1.95E-01,8.20E+00,5.63E+00,1.00E+00,0.00E+00,,0.584,0.038,0.378,,3.813,14.193,10.381
15341414141,7.58E-01,1.94E-01,8.21E+00,5.88E+00,1.00E+00,0.00E+00,,0.574,0.038,0.388,,3.706,14.222,10.515
15397979798,7.60E-01,1.94E-01,8.26E+00,5.62E+00,1.00E+00,0.00E+00,,0.577,0.038,0.385,,3.740,14.225,10.486
15454545455,7.59E-01,1.95E-01,8.14E+00,5.76E+00,1.00E+00,0.00E+00,,0.576,0.038,0.386,,3.723,14.191,10.469
15511111111,7.61E-01,1.95E-01,8.17E+00,5.72E+00,1.00E+00,0.00E+00,,0.579,0.038,0.383,,3.754,14.217,10.463
15567676768,7.60E-01,1.95E-01,7.99E+00,5.78E+00,1.00E+00,0.00E+00,,0.577,0.038,0.384,,3.741,14.180,10.439
15624242424,7.57E-01,1.94E-01,7.98E+00,5.66E+00,1.00E+00,0.00E+00,,0.572,0.038,0.390,,3.689,14.235,10.546
15680808081,7.54E-01,1.95E-01,7.84E+00,5.62E+00,1.00E+00,0.00E+00,,0.569,0.038,0.393,,3.656,14.197,10.541
15737373737,7.52E-01,1.95E-01,7.94E+00,5.58E+00,1.00E+00,0.00E+00,,0.565,0.038,0.397,,3.618,14.207,10.589
15793939394,7.54E-01,1.95E-01,7.80E+00,5.60E+00,1.00E+00,0.00E+00,,0.568,0.038,0.394,,3.648,14.183,10.535
15850505051,7.50E-01,1.95E-01,7.93E+00,5.69E+00,1.00E+00,0.00E+00,,0.562,0.038,0.400,,3.587,14.190,10.602
15907070707,7.54E-01,1.95E-01,7.75E+00,5.63E+00,1.00E+00,0.00E+00,,0.568,0.038,0.394,,3.648,14.211,10.563
15963636364,7.45E-01,1.94E-01,7.74E+00,5.67E+00,1.00E+00,0.00E+00,,0.554,0.038,0.408,,3.510,14.225,10.716
16020202020,7.50E-01,1.95E-01,7.61E+00,5.48E+00,1.00E+00,0.00E+00,,0.563,0.038,0.399,,3.591,14.205,10.614
16076767677,7.39E-01,1.94E-01,7.74E+00,5.70E+00,1.00E+00,0.00E+00,,0.547,0.038,0.416,,3.437,14.237,10.800
16133333333,7.48E-01,1.95E-01,7.58E+00,5.46E+00,1.00E+00,0.00E+00,,0.559,0.038,0.403,,3.556,14.201,10.645
16189898990,7.37E-01,1.94E-01,7.67E+00,5.74E+00,1.00E+00,0.00E+00,,0.544,0.038,0.419,,3.408,14.256,10.848
16246464646,7.45E-01,1.94E-01,7.48E+00,5.38E+00,1.00E+00,0.00E+00,,0.555,0.038,0.407,,3.521,14.227,10.706
16303030303,7.36E-01,1.94E-01,7.54E+00,5.64E+00,1.00E+00,0.00E+00,,0.542,0.038,0.420,,3.395,14.241,10.846
16359595960,7.42E-01,1.94E-01,7.45E+00,5.42E+00,1.00E+00,0.00E+00,,0.550,0.038,0.412,,3.472,14.240,10.768
16416161616,7.35E-01,1.94E-01,7.39E+00,5.63E+00,1.00E+00,0.00E+00,,0.541,0.038,0.422,,3.377,14.253,10.875
16472727273,7.34E-01,1.93E-01,7.29E+00,5.38E+00,1.00E+00,0.00E+00,,0.539,0.037,0.424,,3.359,14.297,10.937
16529292929,7.31E-01,1.94E-01,7.24E+00,5.45E+00,1.00E+00,0.00E+00,,0.534,0.037,0.429,,3.313,14.263,10.950
16585858586,7.28E-01,1.92E-01,7.21E+00,5.33E+00,1.00E+00,0.00E+00,,0.531,0.037,0.433,,3.284,14.323,11.040
16642424242,7.32E-01,1.93E-01,7.04E+00,5.43E+00,1.00E+00,0.00E+00,,0.536,0.037,0.427,,3.336,14.274,10.938
16698989899,7.29E-01,1.92E-01,7.02E+00,5.40E+00,1.00E+00,0.00E+00,,0.532,0.037,0.431,,3.297,14.339,11.043
16755555556,7.33E-01,1.93E-01,6.81E+00,5.21E+00,1.00E+00,0.00E+00,,0.537,0.037,0.425,,3.349,14.298,10.949
16812121212,7.26E-01,1.92E-01,6.91E+00,5.16E+00,1.00E+00,0.00E+00,,0.528,0.037,0.435,,3.257,14.327,11.070
16868686869,7.30E-01,1.93E-01,6.76E+00,5.07E+00,1.00E+00,0.00E+00,,0.533,0.037,0.430,,3.305,14.311,11.005
16925252525,7.26E-01,1.92E-01,6.97E+00,5.16E+00,1.00E+00,0.00E+00,,0.527,0.037,0.436,,3.252,14.314,11.063
16981818182,7.33E-01,1.92E-01,6.66E+00,5.09E+00,1.00E+00,0.00E+00,,0.537,0.037,0.426,,3.348,14.331,10.983
17038383838,7.28E-01,1.93E-01,6.78E+00,5.14E+00,1.00E+00,0.00E+00,,0.530,0.037,0.433,,3.281,14.297,11.016
17094949495,7.30E-01,1.92E-01,6.57E+00,5.01E+00,1.00E+00,0.00E+00,,0.533,0.037,0.430,,3.306,14.347,11.041
17151515152,7.24E-01,1.92E-01,6.65E+00,4.95E+00,1.00E+00,0.00E+00,,0.524,0.037,0.439,,3.227,14.317,11.089
17208080808,7.25E-01,1.92E-01,6.62E+00,4.90E+00,1.00E+00,0.00E+00,,0.525,0.037,0.438,,3.235,14.336,11.101
17264646465,7.24E-01,1.92E-01,6.68E+00,4.97E+00,1.00E+00,0.00E+00,,0.524,0.037,0.439,,3.227,14.315,11.088
17321212121,7.28E-01,1.92E-01,6.61E+00,4.96E+00,1.00E+00,0.00E+00,,0.530,0.037,0.433,,3.281,14.351,11.070
17377777778,7.24E-01,1.92E-01,6.45E+00,4.93E+00,1.00E+00,0.00E+00,,0.524,0.037,0.439,,3.225,14.349,11.124
17434343434,7.26E-01,1.92E-01,6.44E+00,4.85E+00,1.00E+00,0.00E+00,,0.527,0.037,0.437,,3.249,14.350,11.101
17490909091,7.19E-01,1.91E-01,6.38E+00,4.82E+00,1.00E+00,0.00E+00,,0.517,0.037,0.446,,3.164,14.375,11.211
17547474747,7.24E-01,1.91E-01,6.42E+00,4.74E+00,1.00E+00,0.00E+00,,0.524,0.037,0.440,,3.223,14.366,11.144
17604040404,7.18E-01,1.90E-01,6.37E+00,4.84E+00,1.00E+00,0.00E+00,,0.516,0.036,0.448,,3.147,14.419,11.271
17660606061,7.25E-01,1.91E-01,6.28E+00,4.70E+00,1.00E+00,0.00E+00,,0.526,0.037,0.437,,3.244,14.374,11.130
17717171717,7.19E-01,1.90E-01,6.25E+00,4.86E+00,1.00E+00,0.00E+00,,0.518,0.036,0.446,,3.165,14.418,11.253
17773737374,7.24E-01,1.91E-01,6.17E+00,4.59E+00,1.00E+00,0.00E+00,,0.524,0.036,0.439,,3.226,14.389,11.163
17830303030,7.18E-01,1.90E-01,6.15E+00,4.74E+00,1.00E+00,0.00E+00,,0.515,0.036,0.449,,3.143,14.433,11.290
17886868687,7.19E-01,1.90E-01,6.17E+00,4.53E+00,1.00E+00,0.00E+00,,0.517,0.036,0.447,,3.156,14.433,11.277
17943434343,7.18E-01,1.90E-01,6.09E+00,4.63E+00,1.00E+00,0.00E+00,,0.516,0.036,0.448,,3.152,14.428,11.276
18000000000,7.15E-01,1.89E-01,6.10E+00,4.59E+00,1.00E+00,0.00E+00,,0.511,0.036,0.453,,3.110,14.459,11.349
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,Average,,0.581,0.037,0.382,,3.812,14.377,10.565
