Transmission Line And Free Space Method 18.0.18011201,,,,,,,,,,,,,,
Keysight Technologies,N5232B,MY57181309,A.13.20.12,,,,,,,,,,,
13022222222,8.67E+00,4.00E+00,9.92E-01,4.59E-02,6.95E-01,3.36E-01,,0.483,0.113,0.404,,2.867,9.485,6.618
13078787879,8.78E+00,4.01E+00,9.84E-01,4.01E-02,6.95E-01,3.38E-01,,0.484,0.115,0.402,,2.870,9.411,6.542
13135353535,8.68E+00,3.94E+00,9.89E-01,4.70E-02,6.89E-01,3.39E-01,,0.475,0.115,0.410,,2.796,9.394,6.598
13191919192,8.76E+00,4.05E+00,9.87E-01,3.69E-02,6.89E-01,3.40E-01,,0.474,0.116,0.410,,2.792,9.364,6.572
13248484848,8.66E+00,3.93E+00,9.89E-01,4.81E-02,6.82E-01,3.42E-01,,0.465,0.117,0.418,,2.718,9.320,6.602
13305050505,8.67E+00,4.05E+00,9.92E-01,3.89E-02,6.80E-01,3.42E-01,,0.463,0.117,0.420,,2.699,9.316,6.617
13361616162,8.68E+00,3.88E+00,9.85E-01,5.00E-02,6.75E-01,3.44E-01,,0.456,0.119,0.425,,2.645,9.257,6.612
13418181818,8.72E+00,4.02E+00,9.85E-01,3.75E-02,6.76E-01,3.45E-01,,0.457,0.119,0.424,,2.655,9.243,6.588
13474747475,8.74E+00,3.96E+00,9.84E-01,4.29E-02,6.71E-01,3.46E-01,,0.450,0.120,0.430,,2.597,9.225,6.628
13531313131,8.83E+00,4.31E+00,9.84E-01,1.28E-02,6.72E-01,3.48E-01,,0.452,0.121,0.427,,2.609,9.171,6.562
13587878788,8.74E+00,4.17E+00,9.90E-01,2.81E-02,6.65E-01,3.47E-01,,0.443,0.120,0.437,,2.540,9.193,6.653
13644444444,8.78E+00,4.25E+00,9.85E-01,1.84E-02,6.63E-01,3.49E-01,,0.439,0.122,0.439,,2.514,9.135,6.622
13701010101,8.83E+00,4.06E+00,9.78E-01,3.40E-02,6.61E-01,3.49E-01,,0.436,0.122,0.442,,2.490,9.137,6.648
13757575758,8.88E+00,4.27E+00,9.77E-01,1.36E-02,6.57E-01,3.52E-01,,0.432,0.124,0.444,,2.459,9.076,6.618
13814141414,8.93E+00,4.17E+00,9.72E-01,2.37E-02,6.58E-01,3.52E-01,,0.433,0.124,0.443,,2.465,9.079,6.614
13870707071,8.76E+00,4.34E+00,9.87E-01,1.06E-02,6.51E-01,3.51E-01,,0.423,0.124,0.453,,2.391,9.082,6.691
13927272727,8.87E+00,4.12E+00,9.73E-01,3.03E-02,6.52E-01,3.53E-01,,0.425,0.125,0.450,,2.403,9.038,6.635
13983838384,8.70E+00,4.14E+00,9.86E-01,2.75E-02,6.40E-01,3.54E-01,,0.409,0.125,0.465,,2.287,9.025,6.738
14040404040,8.96E+00,4.04E+00,9.63E-01,3.34E-02,6.43E-01,3.55E-01,,0.413,0.126,0.461,,2.316,8.990,6.675
14096969697,8.86E+00,4.17E+00,9.74E-01,2.11E-02,6.36E-01,3.56E-01,,0.405,0.127,0.469,,2.252,8.976,6.724
14153535354,8.96E+00,4.21E+00,9.65E-01,2.01E-02,6.40E-01,3.55E-01,,0.409,0.126,0.464,,2.288,8.991,6.703
14210101010,8.68E+00,4.12E+00,9.88E-01,2.81E-02,6.29E-01,3.58E-01,,0.396,0.128,0.476,,2.190,8.929,6.739
14266666667,8.76E+00,4.14E+00,9.77E-01,2.79E-02,6.29E-01,3.57E-01,,0.395,0.127,0.478,,2.185,8.955,6.771
14323232323,8.74E+00,3.97E+00,9.78E-01,3.76E-02,6.19E-01,3.60E-01,,0.384,0.130,0.486,,2.103,8.866,6.763
14379797980,8.82E+00,4.09E+00,9.71E-01,2.76E-02,6.18E-01,3.58E-01,,0.382,0.128,0.490,,2.090,8.930,6.839
14436363636,8.77E+00,4.03E+00,9.77E-01,3.10E-02,6.14E-01,3.61E-01,,0.378,0.130,0.492,,2.059,8.856,6.797
14492929293,8.74E+00,4.28E+00,9.79E-01,1.17E-02,6.15E-01,3.59E-01,,0.378,0.129,0.493,,2.064,8.900,6.836
14549494949,8.63E+00,3.99E+00,9.86E-01,3.76E-02,6.10E-01,3.62E-01,,0.372,0.131,0.498,,2.018,8.837,6.819
14606060606,8.68E+00,4.21E+00,9.82E-01,1.61E-02,6.04E-01,3.63E-01,,0.365,0.132,0.504,,1.970,8.804,6.834
14662626263,8.68E+00,3.89E+00,9.77E-01,4.35E-02,6.02E-01,3.62E-01,,0.362,0.131,0.507,,1.951,8.818,6.867
14719191919,8.70E+00,4.25E+00,9.79E-01,1.03E-02,5.95E-01,3.63E-01,,0.353,0.132,0.515,,1.894,8.810,6.916
14775757576,8.73E+00,3.96E+00,9.73E-01,3.62E-02,5.98E-01,3.62E-01,,0.358,0.131,0.511,,1.923,8.823,6.900
14832323232,8.68E+00,4.31E+00,9.79E-01,3.60E-03,5.91E-01,3.65E-01,,0.350,0.133,0.517,,1.868,8.757,6.890
14888888889,8.65E+00,4.05E+00,9.80E-01,2.98E-02,5.94E-01,3.64E-01,,0.352,0.132,0.515,,1.887,8.784,6.897
14945454545,8.55E+00,4.15E+00,9.87E-01,1.85E-02,5.82E-01,3.66E-01,,0.339,0.134,0.527,,1.798,8.740,6.943
15002020202,8.75E+00,4.06E+00,9.68E-01,2.72E-02,5.87E-01,3.64E-01,,0.345,0.133,0.523,,1.835,8.768,6.933
15058585859,8.63E+00,4.06E+00,9.77E-01,2.44E-02,5.77E-01,3.65E-01,,0.333,0.134,0.534,,1.757,8.742,6.986
15115151515,8.79E+00,4.16E+00,9.64E-01,1.67E-02,5.82E-01,3.65E-01,,0.339,0.133,0.528,,1.795,8.752,6.957
15171717172,8.60E+00,4.09E+00,9.80E-01,2.10E-02,5.75E-01,3.68E-01,,0.330,0.135,0.535,,1.740,8.690,6.950
15228282828,8.72E+00,4.25E+00,9.68E-01,9.66E-03,5.77E-01,3.67E-01,,0.332,0.134,0.533,,1.755,8.714,6.958
15284848485,8.54E+00,3.97E+00,9.82E-01,3.27E-02,5.67E-01,3.67E-01,,0.322,0.135,0.543,,1.686,8.704,7.018
15341414141,8.74E+00,4.12E+00,9.63E-01,1.86E-02,5.69E-01,3.67E-01,,0.324,0.135,0.541,,1.701,8.711,7.010
15397979798,8.65E+00,3.99E+00,9.71E-01,2.95E-02,5.62E-01,3.67E-01,,0.316,0.135,0.549,,1.651,8.704,7.054
15454545455,8.81E+00,4.15E+00,9.56E-01,1.43E-02,5.64E-01,3.69E-01,,0.318,0.136,0.546,,1.664,8.664,7.000
15511111111,8.64E+00,4.02E+00,9.72E-01,2.67E-02,5.60E-01,3.68E-01,,0.314,0.136,0.551,,1.635,8.679,7.045
15567676768,8.72E+00,4.19E+00,9.62E-01,1.05E-02,5.59E-01,3.70E-01,,0.312,0.137,0.551,,1.626,8.642,7.016
15624242424,8.61E+00,3.93E+00,9.72E-01,3.51E-02,5.55E-01,3.68E-01,,0.308,0.135,0.556,,1.602,8.693,7.091
15680808081,8.73E+00,4.09E+00,9.58E-01,1.70E-02,5.51E-01,3.70E-01,,0.304,0.137,0.560,,1.572,8.641,7.068
15737373737,8.74E+00,3.96E+00,9.58E-01,3.02E-02,5.52E-01,3.69E-01,,0.305,0.136,0.559,,1.579,8.651,7.072
15793939394,8.70E+00,4.20E+00,9.61E-01,7.09E-03,5.44E-01,3.70E-01,,0.296,0.137,0.567,,1.526,8.643,7.118
15850505051,8.73E+00,4.01E+00,9.59E-01,2.52E-02,5.48E-01,3.70E-01,,0.300,0.137,0.563,,1.551,8.638,7.087
15907070707,8.61E+00,4.13E+00,9.68E-01,1.29E-02,5.39E-01,3.69E-01,,0.291,0.136,0.573,,1.491,8.649,7.158
15963636364,8.71E+00,3.99E+00,9.58E-01,2.73E-02,5.43E-01,3.70E-01,,0.295,0.137,0.568,,1.519,8.648,7.128
16020202020,8.66E+00,4.07E+00,9.61E-01,1.67E-02,5.35E-01,3.70E-01,,0.286,0.137,0.577,,1.464,8.625,7.161
16076767677,8.77E+00,4.09E+00,9.52E-01,1.71E-02,5.38E-01,3.70E-01,,0.289,0.137,0.574,,1.482,8.638,7.155
16133333333,8.65E+00,4.11E+00,9.61E-01,1.27E-02,5.30E-01,3.71E-01,,0.281,0.138,0.582,,1.431,8.615,7.184
16189898990,8.71E+00,4.11E+00,9.55E-01,1.50E-02,5.31E-01,3.69E-01,,0.282,0.136,0.582,,1.440,8.662,7.223
16246464646,8.61E+00,4.02E+00,9.63E-01,2.05E-02,5.25E-01,3.70E-01,,0.276,0.137,0.587,,1.400,8.626,7.225
16303030303,8.72E+00,4.09E+00,9.52E-01,1.54E-02,5.25E-01,3.69E-01,,0.276,0.136,0.588,,1.403,8.667,7.264
16359595960,8.56E+00,4.01E+00,9.68E-01,2.11E-02,5.20E-01,3.69E-01,,0.271,0.136,0.593,,1.370,8.654,7.284
16416161616,8.67E+00,4.10E+00,9.56E-01,1.34E-02,5.20E-01,3.69E-01,,0.271,0.136,0.593,,1.370,8.657,7.287
16472727273,8.51E+00,3.93E+00,9.70E-01,2.83E-02,5.14E-01,3.68E-01,,0.264,0.136,0.600,,1.333,8.675,7.342
16529292929,8.67E+00,4.06E+00,9.53E-01,1.58E-02,5.12E-01,3.69E-01,,0.262,0.136,0.601,,1.321,8.650,7.329
16585858586,8.56E+00,3.90E+00,9.64E-01,2.97E-02,5.10E-01,3.68E-01,,0.260,0.136,0.604,,1.310,8.679,7.370
16642424242,8.65E+00,4.11E+00,9.54E-01,9.28E-03,5.10E-01,3.70E-01,,0.260,0.137,0.603,,1.310,8.640,7.330
16698989899,8.50E+00,3.93E+00,9.70E-01,2.65E-02,5.09E-01,3.68E-01,,0.259,0.136,0.606,,1.300,8.680,7.381
16755555556,8.56E+00,4.10E+00,9.61E-01,9.22E-03,5.06E-01,3.69E-01,,0.256,0.136,0.608,,1.283,8.654,7.370
16812121212,8.55E+00,3.93E+00,9.62E-01,2.55E-02,5.03E-01,3.68E-01,,0.253,0.136,0.611,,1.267,8.675,7.408
16868686869,8.57E+00,4.08E+00,9.57E-01,1.06E-02,4.98E-01,3.68E-01,,0.248,0.136,0.616,,1.240,8.675,7.436
16925252525,8.64E+00,4.05E+00,9.51E-01,1.29E-02,5.01E-01,3.69E-01,,0.251,0.136,0.613,,1.253,8.665,7.412
16981818182,8.51E+00,4.16E+00,9.61E-01,8.63E-04,4.98E-01,3.67E-01,,0.248,0.135,0.617,,1.237,8.698,7.460
17038383838,8.60E+00,4.09E+00,9.54E-01,9.12E-03,5.00E-01,3.68E-01,,0.250,0.135,0.614,,1.252,8.682,7.430
17094949495,8.46E+00,4.12E+00,9.64E-01,5.08E-03,4.93E-01,3.67E-01,,0.244,0.135,0.622,,1.212,8.712,7.500
17151515152,8.63E+00,4.06E+00,9.48E-01,1.23E-02,4.96E-01,3.67E-01,,0.246,0.135,0.619,,1.227,8.708,7.481
17208080808,8.54E+00,4.13E+00,9.55E-01,3.14E-03,4.89E-01,3.66E-01,,0.239,0.134,0.627,,1.185,8.734,7.549
17264646465,8.69E+00,4.09E+00,9.40E-01,9.13E-03,4.95E-01,3.66E-01,,0.245,0.134,0.622,,1.219,8.736,7.518
17321212121,8.50E+00,4.17E+00,9.58E-01,-1.72E-03,4.88E-01,3.65E-01,,0.238,0.133,0.628,,1.183,8.746,7.563
17377777778,8.63E+00,4.08E+00,9.45E-01,1.09E-02,4.93E-01,3.65E-01,,0.243,0.133,0.624,,1.209,8.764,7.555
17434343434,8.50E+00,4.05E+00,9.58E-01,1.07E-02,4.86E-01,3.65E-01,,0.236,0.133,0.631,,1.168,8.760,7.592
17490909091,8.67E+00,3.99E+00,9.39E-01,1.87E-02,4.87E-01,3.64E-01,,0.238,0.132,0.630,,1.178,8.787,7.609
17547474747,8.58E+00,3.98E+00,9.48E-01,1.70E-02,4.83E-01,3.64E-01,,0.233,0.132,0.635,,1.152,8.781,7.629
17604040404,8.72E+00,4.08E+00,9.33E-01,8.88E-03,4.84E-01,3.63E-01,,0.235,0.132,0.633,,1.162,8.798,7.637
17660606061,8.54E+00,4.01E+00,9.51E-01,1.32E-02,4.82E-01,3.64E-01,,0.233,0.132,0.635,,1.150,8.787,7.637
17717171717,8.58E+00,4.16E+00,9.45E-01,-1.10E-04,4.82E-01,3.62E-01,,0.232,0.131,0.637,,1.148,8.825,7.677
17773737374,8.49E+00,3.91E+00,9.55E-01,2.42E-02,4.82E-01,3.62E-01,,0.232,0.131,0.637,,1.146,8.826,7.680
17830303030,8.54E+00,4.10E+00,9.46E-01,4.87E-03,4.78E-01,3.61E-01,,0.229,0.130,0.641,,1.127,8.847,7.719
17886868687,8.54E+00,3.92E+00,9.48E-01,2.23E-02,4.79E-01,3.61E-01,,0.229,0.130,0.640,,1.132,8.858,7.725
17943434343,8.54E+00,4.16E+00,9.45E-01,-2.67E-03,4.75E-01,3.61E-01,,0.226,0.130,0.644,,1.113,8.853,7.740
18000000000,8.50E+00,3.98E+00,9.50E-01,1.46E-02,4.78E-01,3.59E-01,,0.229,0.129,0.642,,1.129,8.888,7.759
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,Average,,0.349,0.128,0.523,,1.914,8.937,7.022
