Transmission Line And Free Space Method 18.0.18011201,,,,,,,,,,,,,,
Keysight Technologies,N5232B,MY57181309,A.13.20.12,,,,,,,,,,,
13022222222,8.26E-01,1.33E-01,9.82E+00,6.61E+00,1.00E+00,0.00E+00,,0.683,0.018,0.299,,4.987,17.494,12.506
13078787879,8.20E-01,1.34E-01,9.63E+00,6.70E+00,1.00E+00,0.00E+00,,0.672,0.018,0.310,,4.842,17.483,12.641
13135353535,8.25E-01,1.34E-01,9.67E+00,6.43E+00,1.00E+00,0.00E+00,,0.680,0.018,0.302,,4.947,17.475,12.528
13191919192,8.18E-01,1.34E-01,9.46E+00,6.62E+00,1.00E+00,0.00E+00,,0.669,0.018,0.313,,4.807,17.478,12.671
13248484848,8.23E-01,1.34E-01,9.55E+00,6.24E+00,1.00E+00,0.00E+00,,0.677,0.018,0.305,,4.906,17.440,12.533
13305050505,8.16E-01,1.34E-01,9.31E+00,6.51E+00,1.00E+00,0.00E+00,,0.667,0.018,0.315,,4.770,17.437,12.666
13361616162,8.18E-01,1.34E-01,9.54E+00,6.28E+00,1.00E+00,0.00E+00,,0.669,0.018,0.313,,4.795,17.431,12.636
13418181818,8.16E-01,1.34E-01,9.22E+00,6.37E+00,1.00E+00,0.00E+00,,0.665,0.018,0.317,,4.751,17.442,12.691
13474747475,8.15E-01,1.34E-01,9.42E+00,6.33E+00,1.00E+00,0.00E+00,,0.664,0.018,0.318,,4.734,17.462,12.728
13531313131,8.15E-01,1.34E-01,9.04E+00,6.30E+00,1.00E+00,0.00E+00,,0.664,0.018,0.318,,4.736,17.429,12.694
13587878788,8.09E-01,1.34E-01,9.30E+00,6.49E+00,1.00E+00,0.00E+00,,0.655,0.018,0.327,,4.620,17.463,12.843
13644444444,8.10E-01,1.34E-01,8.97E+00,6.16E+00,1.00E+00,0.00E+00,,0.657,0.018,0.325,,4.642,17.444,12.802
13701010101,8.02E-01,1.34E-01,9.14E+00,6.40E+00,1.00E+00,0.00E+00,,0.644,0.018,0.338,,4.485,17.476,12.991
13757575758,8.05E-01,1.34E-01,8.93E+00,6.12E+00,1.00E+00,0.00E+00,,0.649,0.018,0.333,,4.544,17.472,12.928
13814141414,8.01E-01,1.34E-01,9.15E+00,6.47E+00,1.00E+00,0.00E+00,,0.642,0.018,0.340,,4.466,17.465,13.000
13870707071,8.04E-01,1.33E-01,8.83E+00,6.21E+00,1.00E+00,0.00E+00,,0.647,0.018,0.336,,4.517,17.517,12.999
13927272727,7.95E-01,1.34E-01,8.72E+00,6.45E+00,1.00E+00,0.00E+00,,0.632,0.018,0.350,,4.347,17.475,13.129
13983838384,7.96E-01,1.33E-01,8.63E+00,6.05E+00,1.00E+00,0.00E+00,,0.633,0.018,0.349,,4.355,17.534,13.179
14040404040,7.87E-01,1.33E-01,8.53E+00,6.17E+00,1.00E+00,0.00E+00,,0.619,0.018,0.363,,4.193,17.514,13.321
14096969697,7.93E-01,1.32E-01,8.73E+00,5.96E+00,1.00E+00,0.00E+00,,0.629,0.018,0.354,,4.304,17.559,13.255
14153535354,7.89E-01,1.32E-01,8.39E+00,6.19E+00,1.00E+00,0.00E+00,,0.623,0.018,0.360,,4.235,17.566,13.331
14210101010,7.94E-01,1.32E-01,8.51E+00,6.02E+00,1.00E+00,0.00E+00,,0.630,0.018,0.353,,4.315,17.561,13.245
14266666667,7.84E-01,1.31E-01,7.93E+00,6.02E+00,1.00E+00,0.00E+00,,0.614,0.017,0.369,,4.135,17.634,13.499
14323232323,7.86E-01,1.32E-01,8.30E+00,5.72E+00,1.00E+00,0.00E+00,,0.617,0.017,0.365,,4.171,17.581,13.410
14379797980,7.77E-01,1.31E-01,7.90E+00,5.77E+00,1.00E+00,0.00E+00,,0.604,0.017,0.379,,4.027,17.680,13.653
14436363636,7.81E-01,1.31E-01,8.26E+00,5.75E+00,1.00E+00,0.00E+00,,0.610,0.017,0.373,,4.086,17.647,13.561
14492929293,7.78E-01,1.30E-01,7.72E+00,5.81E+00,1.00E+00,0.00E+00,,0.606,0.017,0.378,,4.040,17.746,13.706
14549494949,7.78E-01,1.30E-01,7.83E+00,5.75E+00,1.00E+00,0.00E+00,,0.606,0.017,0.377,,4.041,17.704,13.663
14606060606,7.73E-01,1.29E-01,7.52E+00,5.63E+00,1.00E+00,0.00E+00,,0.598,0.017,0.385,,3.960,17.756,13.796
14662626263,7.70E-01,1.29E-01,7.54E+00,5.38E+00,1.00E+00,0.00E+00,,0.592,0.017,0.391,,3.895,17.769,13.874
14719191919,7.72E-01,1.29E-01,7.52E+00,5.33E+00,1.00E+00,0.00E+00,,0.596,0.017,0.387,,3.937,17.784,13.848
14775757576,7.73E-01,1.29E-01,7.56E+00,5.32E+00,1.00E+00,0.00E+00,,0.598,0.017,0.386,,3.956,17.799,13.843
14832323232,7.83E-01,1.29E-01,7.64E+00,5.24E+00,1.00E+00,0.00E+00,,0.614,0.017,0.370,,4.130,17.782,13.652
14888888889,7.79E-01,1.28E-01,7.37E+00,5.24E+00,1.00E+00,0.00E+00,,0.607,0.016,0.376,,4.057,17.826,13.769
14945454545,7.84E-01,1.29E-01,7.43E+00,4.99E+00,1.00E+00,0.00E+00,,0.615,0.017,0.369,,4.143,17.781,13.638
15002020202,7.77E-01,1.28E-01,7.43E+00,5.09E+00,1.00E+00,0.00E+00,,0.603,0.016,0.380,,4.014,17.853,13.839
15058585859,7.85E-01,1.29E-01,7.47E+00,4.72E+00,1.00E+00,0.00E+00,,0.615,0.017,0.368,,4.151,17.808,13.657
15115151515,7.80E-01,1.27E-01,7.50E+00,5.08E+00,1.00E+00,0.00E+00,,0.609,0.016,0.375,,4.076,17.892,13.816
15171717172,7.92E-01,1.28E-01,7.48E+00,4.76E+00,1.00E+00,0.00E+00,,0.627,0.016,0.357,,4.282,17.844,13.562
15228282828,7.85E-01,1.27E-01,7.37E+00,5.00E+00,1.00E+00,0.00E+00,,0.617,0.016,0.367,,4.163,17.894,13.730
15284848485,7.90E-01,1.28E-01,7.36E+00,4.63E+00,1.00E+00,0.00E+00,,0.624,0.016,0.360,,4.245,17.875,13.630
15341414141,7.83E-01,1.27E-01,7.30E+00,4.81E+00,1.00E+00,0.00E+00,,0.612,0.016,0.371,,4.116,17.930,13.814
15397979798,7.86E-01,1.27E-01,7.37E+00,4.58E+00,1.00E+00,0.00E+00,,0.618,0.016,0.366,,4.181,17.947,13.766
15454545455,7.86E-01,1.27E-01,7.26E+00,4.66E+00,1.00E+00,0.00E+00,,0.617,0.016,0.367,,4.170,17.930,13.760
15511111111,7.89E-01,1.26E-01,7.31E+00,4.62E+00,1.00E+00,0.00E+00,,0.622,0.016,0.362,,4.228,17.974,13.746
15567676768,7.88E-01,1.27E-01,7.14E+00,4.66E+00,1.00E+00,0.00E+00,,0.620,0.016,0.364,,4.205,17.955,13.750
15624242424,7.86E-01,1.25E-01,7.15E+00,4.57E+00,1.00E+00,0.00E+00,,0.617,0.016,0.367,,4.169,18.029,13.860
15680808081,7.83E-01,1.26E-01,7.01E+00,4.50E+00,1.00E+00,0.00E+00,,0.613,0.016,0.371,,4.124,18.007,13.883
15737373737,7.83E-01,1.25E-01,7.11E+00,4.47E+00,1.00E+00,0.00E+00,,0.613,0.016,0.372,,4.119,18.028,13.909
15793939394,7.84E-01,1.25E-01,6.98E+00,4.45E+00,1.00E+00,0.00E+00,,0.614,0.016,0.370,,4.136,18.028,13.892
15850505051,7.82E-01,1.25E-01,7.11E+00,4.55E+00,1.00E+00,0.00E+00,,0.611,0.016,0.373,,4.102,18.048,13.946
15907070707,7.85E-01,1.25E-01,6.94E+00,4.46E+00,1.00E+00,0.00E+00,,0.616,0.016,0.369,,4.154,18.095,13.942
15963636364,7.77E-01,1.24E-01,6.96E+00,4.53E+00,1.00E+00,0.00E+00,,0.604,0.015,0.381,,4.022,18.123,14.101
16020202020,7.83E-01,1.24E-01,6.85E+00,4.32E+00,1.00E+00,0.00E+00,,0.613,0.015,0.372,,4.123,18.120,13.997
16076767677,7.73E-01,1.23E-01,6.93E+00,4.52E+00,1.00E+00,0.00E+00,,0.597,0.015,0.387,,3.951,18.173,14.222
16133333333,7.82E-01,1.24E-01,6.84E+00,4.29E+00,1.00E+00,0.00E+00,,0.612,0.015,0.373,,4.109,18.153,14.044
16189898990,7.72E-01,1.23E-01,6.87E+00,4.53E+00,1.00E+00,0.00E+00,,0.596,0.015,0.389,,3.933,18.234,14.301
16246464646,7.81E-01,1.23E-01,6.78E+00,4.22E+00,1.00E+00,0.00E+00,,0.610,0.015,0.375,,4.093,18.220,14.127
16303030303,7.72E-01,1.22E-01,6.77E+00,4.41E+00,1.00E+00,0.00E+00,,0.597,0.015,0.388,,3.944,18.254,14.310
16359595960,7.80E-01,1.22E-01,6.76E+00,4.22E+00,1.00E+00,0.00E+00,,0.609,0.015,0.376,,4.074,18.270,14.196
16416161616,7.73E-01,1.22E-01,6.68E+00,4.38E+00,1.00E+00,0.00E+00,,0.597,0.015,0.388,,3.952,18.302,14.350
16472727273,7.74E-01,1.21E-01,6.66E+00,4.18E+00,1.00E+00,0.00E+00,,0.599,0.015,0.386,,3.968,18.367,14.399
16529292929,7.69E-01,1.21E-01,6.60E+00,4.24E+00,1.00E+00,0.00E+00,,0.592,0.015,0.394,,3.892,18.351,14.459
16585858586,7.69E-01,1.20E-01,6.64E+00,4.15E+00,1.00E+00,0.00E+00,,0.591,0.014,0.395,,3.882,18.437,14.555
16642424242,7.70E-01,1.20E-01,6.50E+00,4.23E+00,1.00E+00,0.00E+00,,0.594,0.014,0.392,,3.910,18.416,14.506
16698989899,7.67E-01,1.19E-01,6.51E+00,4.26E+00,1.00E+00,0.00E+00,,0.588,0.014,0.398,,3.852,18.518,14.666
16755555556,7.68E-01,1.19E-01,6.30E+00,4.14E+00,1.00E+00,0.00E+00,,0.589,0.014,0.397,,3.864,18.513,14.649
16812121212,7.60E-01,1.18E-01,6.35E+00,4.11E+00,1.00E+00,0.00E+00,,0.577,0.014,0.409,,3.741,18.579,14.838
16868686869,7.63E-01,1.18E-01,6.20E+00,3.99E+00,1.00E+00,0.00E+00,,0.582,0.014,0.404,,3.790,18.589,14.798
16925252525,7.60E-01,1.17E-01,6.37E+00,4.08E+00,1.00E+00,0.00E+00,,0.577,0.014,0.409,,3.739,18.621,14.883
16981818182,7.68E-01,1.17E-01,6.13E+00,3.96E+00,1.00E+00,0.00E+00,,0.590,0.014,0.396,,3.871,18.656,14.785
17038383838,7.64E-01,1.17E-01,6.23E+00,4.05E+00,1.00E+00,0.00E+00,,0.584,0.014,0.403,,3.805,18.647,14.842
17094949495,7.67E-01,1.16E-01,6.06E+00,3.89E+00,1.00E+00,0.00E+00,,0.588,0.013,0.399,,3.851,18.720,14.869
17151515152,7.62E-01,1.16E-01,6.13E+00,3.88E+00,1.00E+00,0.00E+00,,0.580,0.013,0.406,,3.768,18.708,14.940
17208080808,7.63E-01,1.15E-01,6.10E+00,3.79E+00,1.00E+00,0.00E+00,,0.582,0.013,0.405,,3.784,18.754,14.970
17264646465,7.64E-01,1.15E-01,6.16E+00,3.85E+00,1.00E+00,0.00E+00,,0.583,0.013,0.403,,3.801,18.751,14.951
17321212121,7.67E-01,1.15E-01,6.10E+00,3.82E+00,1.00E+00,0.00E+00,,0.588,0.013,0.399,,3.852,18.821,14.970
17377777778,7.64E-01,1.14E-01,5.99E+00,3.83E+00,1.00E+00,0.00E+00,,0.584,0.013,0.403,,3.810,18.831,15.021
17434343434,7.66E-01,1.14E-01,5.98E+00,3.75E+00,1.00E+00,0.00E+00,,0.586,0.013,0.401,,3.830,18.872,15.042
17490909091,7.60E-01,1.13E-01,5.92E+00,3.72E+00,1.00E+00,0.00E+00,,0.578,0.013,0.410,,3.743,18.911,15.168
17547474747,7.65E-01,1.13E-01,5.96E+00,3.65E+00,1.00E+00,0.00E+00,,0.585,0.013,0.402,,3.819,18.932,15.113
17604040404,7.59E-01,1.12E-01,5.91E+00,3.71E+00,1.00E+00,0.00E+00,,0.576,0.013,0.412,,3.721,19.008,15.287
17660606061,7.68E-01,1.12E-01,5.88E+00,3.60E+00,1.00E+00,0.00E+00,,0.589,0.013,0.398,,3.865,18.984,15.119
17717171717,7.60E-01,1.11E-01,5.82E+00,3.73E+00,1.00E+00,0.00E+00,,0.577,0.012,0.410,,3.739,19.067,15.327
17773737374,7.67E-01,1.12E-01,5.79E+00,3.52E+00,1.00E+00,0.00E+00,,0.589,0.012,0.399,,3.857,19.051,15.195
17830303030,7.58E-01,1.10E-01,5.72E+00,3.64E+00,1.00E+00,0.00E+00,,0.575,0.012,0.413,,3.716,19.133,15.417
17886868687,7.62E-01,1.10E-01,5.76E+00,3.47E+00,1.00E+00,0.00E+00,,0.580,0.012,0.408,,3.770,19.146,15.377
17943434343,7.59E-01,1.10E-01,5.69E+00,3.56E+00,1.00E+00,0.00E+00,,0.576,0.012,0.412,,3.727,19.175,15.448
18000000000,7.58E-01,1.09E-01,5.72E+00,3.51E+00,1.00E+00,0.00E+00,,0.574,0.012,0.414,,3.710,19.227,15.517
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,Average,,0.621,0.016,0.363,,4.238,18.030,13.792
