Transmission Line And Free Space Method 18.0.18011201
Keysight Technologies,N5232B,MY57181309,A.13.20.12

Ch 1
Ports:, 1 & 2
Measurement Model:, Reflection/Transmission Epsilon Precision
Sample Holder Type:, Waveguide
Cutoff Frequency:, 9.487103 GHz
Sample Holder Length:, 6.500000 mm
Distance to Sample:, 0.000000 mm
Sample Thickness:, 2.800000 mm
IFBW:, 300.000000 Hz
Power:, 0.000000 dBm
Date:,"Tuesday, September 19, 2023 16:08:37"
frequency(Hz),Tr 2  S11(LinM),Tr 3  S21(LinM),Tr 1  Data(e'),Tr 4  Data(e''),Tr 5  Data(u'),Tr 6  Data(u''),Tr 7  Data(e'),Tr 8  Data(e'')
14492929292.9293,6.801984e-001,4.100488e-001,6.186696e+000,2.750251e+000,1.000000e+000,0.000000e+000,6.186696e+000,2.750251e+000
14549494949.4949,6.759780e-001,4.140585e-001,6.119831e+000,2.792434e+000,1.000000e+000,0.000000e+000,6.119831e+000,2.792434e+000
14606060606.0606,6.721964e-001,4.146885e-001,6.188541e+000,2.753340e+000,1.000000e+000,0.000000e+000,6.188541e+000,2.753340e+000
14662626262.6263,6.669014e-001,4.158257e-001,6.052220e+000,2.737458e+000,1.000000e+000,0.000000e+000,6.052220e+000,2.737458e+000
14719191919.1919,6.629168e-001,4.171941e-001,6.224746e+000,2.711368e+000,1.000000e+000,0.000000e+000,6.224746e+000,2.711368e+000
14775757575.7576,6.637705e-001,4.168849e-001,6.129669e+000,2.731433e+000,1.000000e+000,0.000000e+000,6.129669e+000,2.731433e+000
14832323232.3232,6.623361e-001,4.194786e-001,6.281796e+000,2.713627e+000,1.000000e+000,0.000000e+000,6.281796e+000,2.713627e+000
14888888888.8889,6.614653e-001,4.184596e-001,6.137880e+000,2.776384e+000,1.000000e+000,0.000000e+000,6.137880e+000,2.776384e+000
14945454545.4545,6.535479e-001,4.216047e-001,6.220951e+000,2.738639e+000,1.000000e+000,0.000000e+000,6.220951e+000,2.738639e+000
15002020202.0202,6.528428e-001,4.198374e-001,6.167563e+000,2.708184e+000,1.000000e+000,0.000000e+000,6.167563e+000,2.708184e+000
15058585858.5859,6.473069e-001,4.225338e-001,6.181865e+000,2.665431e+000,1.000000e+000,0.000000e+000,6.181865e+000,2.665431e+000
15115151515.1515,6.499268e-001,4.198901e-001,6.227091e+000,2.681890e+000,1.000000e+000,0.000000e+000,6.227091e+000,2.681890e+000
15171717171.7172,6.475143e-001,4.233880e-001,6.175628e+000,2.695346e+000,1.000000e+000,0.000000e+000,6.175628e+000,2.695346e+000
15228282828.2828,6.475520e-001,4.229158e-001,6.219496e+000,2.679179e+000,1.000000e+000,0.000000e+000,6.219496e+000,2.679179e+000
15284848484.8485,6.418022e-001,4.246609e-001,6.128806e+000,2.674705e+000,1.000000e+000,0.000000e+000,6.128806e+000,2.674705e+000
15341414141.4141,6.388478e-001,4.236148e-001,6.153185e+000,2.648327e+000,1.000000e+000,0.000000e+000,6.153185e+000,2.648327e+000
15397979797.9798,6.366286e-001,4.239437e-001,6.103983e+000,2.642700e+000,1.000000e+000,0.000000e+000,6.103983e+000,2.642700e+000
15454545454.5455,6.362307e-001,4.260378e-001,6.116993e+000,2.597864e+000,1.000000e+000,0.000000e+000,6.116993e+000,2.597864e+000
15511111111.1111,6.355038e-001,4.259316e-001,6.090940e+000,2.640633e+000,1.000000e+000,0.000000e+000,6.090940e+000,2.640633e+000
15567676767.6768,6.326859e-001,4.288433e-001,6.099190e+000,2.602670e+000,1.000000e+000,0.000000e+000,6.099190e+000,2.602670e+000
15624242424.2424,6.299766e-001,4.260918e-001,6.052148e+000,2.654277e+000,1.000000e+000,0.000000e+000,6.052148e+000,2.654277e+000
15680808080.8081,6.239290e-001,4.282528e-001,6.036878e+000,2.603279e+000,1.000000e+000,0.000000e+000,6.036878e+000,2.603279e+000
15737373737.3737,6.249764e-001,4.285349e-001,6.002419e+000,2.604841e+000,1.000000e+000,0.000000e+000,6.002419e+000,2.604841e+000
15793939393.9394,6.207252e-001,4.304013e-001,6.036857e+000,2.568235e+000,1.000000e+000,0.000000e+000,6.036857e+000,2.568235e+000
15850505050.5051,6.207473e-001,4.308681e-001,6.018941e+000,2.596764e+000,1.000000e+000,0.000000e+000,6.018941e+000,2.596764e+000
15907070707.0707,6.158906e-001,4.308964e-001,6.021180e+000,2.594137e+000,1.000000e+000,0.000000e+000,6.021180e+000,2.594137e+000
15963636363.6364,6.135596e-001,4.306195e-001,5.994656e+000,2.616443e+000,1.000000e+000,0.000000e+000,5.994656e+000,2.616443e+000
16020202020.2020,6.112911e-001,4.322931e-001,5.963646e+000,2.571986e+000,1.000000e+000,0.000000e+000,5.963646e+000,2.571986e+000
16076767676.7677,6.076632e-001,4.324277e-001,5.977269e+000,2.580987e+000,1.000000e+000,0.000000e+000,5.977269e+000,2.580987e+000
16133333333.3333,6.080298e-001,4.344969e-001,5.957659e+000,2.541368e+000,1.000000e+000,0.000000e+000,5.957659e+000,2.541368e+000
16189898989.8990,6.023257e-001,4.326266e-001,5.972362e+000,2.584968e+000,1.000000e+000,0.000000e+000,5.972362e+000,2.584968e+000
16246464646.4646,6.026591e-001,4.344484e-001,5.933557e+000,2.555969e+000,1.000000e+000,0.000000e+000,5.933557e+000,2.555969e+000
16303030303.0303,5.985366e-001,4.340836e-001,5.931048e+000,2.569022e+000,1.000000e+000,0.000000e+000,5.931048e+000,2.569022e+000
16359595959.5960,5.985283e-001,4.351970e-001,5.933735e+000,2.552984e+000,1.000000e+000,0.000000e+000,5.933735e+000,2.552984e+000
16416161616.1616,5.958728e-001,4.359073e-001,5.912190e+000,2.559015e+000,1.000000e+000,0.000000e+000,5.912190e+000,2.559015e+000
16472727272.7273,5.918859e-001,4.351145e-001,5.906697e+000,2.563445e+000,1.000000e+000,0.000000e+000,5.906697e+000,2.563445e+000
16529292929.2929,5.898663e-001,4.372125e-001,5.882638e+000,2.533945e+000,1.000000e+000,0.000000e+000,5.882638e+000,2.533945e+000
16585858585.8586,5.858999e-001,4.358640e-001,5.895595e+000,2.549875e+000,1.000000e+000,0.000000e+000,5.895595e+000,2.549875e+000
16642424242.4242,5.890039e-001,4.388626e-001,5.876925e+000,2.523440e+000,1.000000e+000,0.000000e+000,5.876925e+000,2.523440e+000
16698989898.9899,5.831689e-001,4.369661e-001,5.904921e+000,2.572358e+000,1.000000e+000,0.000000e+000,5.904921e+000,2.572358e+000
16755555555.5556,5.838297e-001,4.388060e-001,5.860703e+000,2.533498e+000,1.000000e+000,0.000000e+000,5.860703e+000,2.533498e+000
16812121212.1212,5.755449e-001,4.383099e-001,5.877063e+000,2.548346e+000,1.000000e+000,0.000000e+000,5.877063e+000,2.548346e+000
16868686868.6869,5.745010e-001,4.383657e-001,5.846711e+000,2.509771e+000,1.000000e+000,0.000000e+000,5.846711e+000,2.509771e+000
16925252525.2525,5.705968e-001,4.394733e-001,5.883335e+000,2.519625e+000,1.000000e+000,0.000000e+000,5.883335e+000,2.519625e+000
16981818181.8182,5.710142e-001,4.385113e-001,5.871373e+000,2.508700e+000,1.000000e+000,0.000000e+000,5.871373e+000,2.508700e+000
17038383838.3838,5.688370e-001,4.402948e-001,5.871048e+000,2.521438e+000,1.000000e+000,0.000000e+000,5.871048e+000,2.521438e+000
17094949494.9495,5.628876e-001,4.386365e-001,5.851922e+000,2.513551e+000,1.000000e+000,0.000000e+000,5.851922e+000,2.513551e+000
17151515151.5152,5.611223e-001,4.399189e-001,5.824362e+000,2.507587e+000,1.000000e+000,0.000000e+000,5.824362e+000,2.507587e+000
17208080808.0808,5.543706e-001,4.389783e-001,5.837907e+000,2.473889e+000,1.000000e+000,0.000000e+000,5.837907e+000,2.473889e+000
17264646464.6465,5.575381e-001,4.398979e-001,5.809139e+000,2.475559e+000,1.000000e+000,0.000000e+000,5.809139e+000,2.475559e+000
17321212121.2121,5.516007e-001,4.395352e-001,5.844409e+000,2.465197e+000,1.000000e+000,0.000000e+000,5.844409e+000,2.465197e+000
17377777777.7778,5.537466e-001,4.394268e-001,5.784262e+000,2.488821e+000,1.000000e+000,0.000000e+000,5.784262e+000,2.488821e+000
17434343434.3434,5.463899e-001,4.396533e-001,5.797704e+000,2.476285e+000,1.000000e+000,0.000000e+000,5.797704e+000,2.476285e+000
17490909090.9091,5.461120e-001,4.388866e-001,5.731260e+000,2.473067e+000,1.000000e+000,0.000000e+000,5.731260e+000,2.473067e+000
17547474747.4747,5.421994e-001,4.399419e-001,5.747030e+000,2.460846e+000,1.000000e+000,0.000000e+000,5.747030e+000,2.460846e+000
17604040404.0404,5.408610e-001,4.388645e-001,5.728285e+000,2.452327e+000,1.000000e+000,0.000000e+000,5.728285e+000,2.452327e+000
17660606060.6061,5.403750e-001,4.408361e-001,5.728803e+000,2.462353e+000,1.000000e+000,0.000000e+000,5.728803e+000,2.462353e+000
17717171717.1717,5.367355e-001,4.390585e-001,5.720323e+000,2.465570e+000,1.000000e+000,0.000000e+000,5.720323e+000,2.465570e+000
17773737373.7374,5.372620e-001,4.411547e-001,5.669478e+000,2.482618e+000,1.000000e+000,0.000000e+000,5.669478e+000,2.482618e+000
17830303030.3030,5.304147e-001,4.402755e-001,5.679124e+000,2.468715e+000,1.000000e+000,0.000000e+000,5.679124e+000,2.468715e+000
17886868686.8687,5.309133e-001,4.416015e-001,5.646115e+000,2.461941e+000,1.000000e+000,0.000000e+000,5.646115e+000,2.461941e+000
17943434343.4343,5.257998e-001,4.424606e-001,5.664899e+000,2.450251e+000,1.000000e+000,0.000000e+000,5.664899e+000,2.450251e+000
18000000000.0000,5.254536e-001,4.412294e-001,5.662653e+000,2.466014e+000,1.000000e+000,0.000000e+000,5.662653e+000,2.466014e+000

