Transmission Line And Free Space Method 18.0.18011201
Keysight Technologies,N5232B,MY57181309,A.13.20.12

Ch 1
Ports:, 1 & 2
Measurement Model:, Reflection/Transmission Epsilon Precision
Sample Holder Type:, Waveguide
Cutoff Frequency:, 9.487103 GHz
Sample Holder Length:, 6.500000 mm
Distance to Sample:, 0.000000 mm
Sample Thickness:, 2.800000 mm
IFBW:, 300.000000 Hz
Power:, 0.000000 dBm
Date:,"Tuesday, September 19, 2023 16:13:44"
frequency(Hz),Tr 2  S11(LinM),Tr 3  S21(LinM),Tr 1  Data(e'),Tr 4  Data(e''),Tr 5  Data(u'),Tr 6  Data(u''),Tr 7  Data(e'),Tr 8  Data(e'')
13248484848.4848,7.026712e-001,4.115856e-001,6.441591e+000,2.860875e+000,1.000000e+000,0.000000e+000,6.441591e+000,2.860875e+000
13305050505.0505,6.986945e-001,4.132363e-001,6.532943e+000,2.893659e+000,1.000000e+000,0.000000e+000,6.532943e+000,2.893659e+000
13361616161.6162,6.960865e-001,4.152736e-001,6.504370e+000,2.846792e+000,1.000000e+000,0.000000e+000,6.504370e+000,2.846792e+000
13418181818.1818,6.939140e-001,4.171580e-001,6.599166e+000,2.862438e+000,1.000000e+000,0.000000e+000,6.599166e+000,2.862438e+000
13474747474.7475,6.897798e-001,4.170327e-001,6.618313e+000,2.905767e+000,1.000000e+000,0.000000e+000,6.618313e+000,2.905767e+000
13531313131.3131,6.887624e-001,4.196987e-001,6.675360e+000,2.904062e+000,1.000000e+000,0.000000e+000,6.675360e+000,2.904062e+000
13587878787.8788,6.822811e-001,4.186650e-001,6.652804e+000,2.970999e+000,1.000000e+000,0.000000e+000,6.652804e+000,2.970999e+000
13644444444.4444,6.805047e-001,4.217262e-001,6.661273e+000,2.905067e+000,1.000000e+000,0.000000e+000,6.661273e+000,2.905067e+000
13701010101.0101,6.750725e-001,4.212909e-001,6.676393e+000,2.919659e+000,1.000000e+000,0.000000e+000,6.676393e+000,2.919659e+000
13757575757.5758,6.734439e-001,4.228282e-001,6.763579e+000,2.901309e+000,1.000000e+000,0.000000e+000,6.763579e+000,2.901309e+000
13814141414.1414,6.702592e-001,4.232697e-001,6.745705e+000,2.941149e+000,1.000000e+000,0.000000e+000,6.745705e+000,2.941149e+000
13870707070.7071,6.668029e-001,4.223724e-001,6.808867e+000,2.996757e+000,1.000000e+000,0.000000e+000,6.808867e+000,2.996757e+000
13927272727.2727,6.631500e-001,4.248630e-001,6.679340e+000,2.977475e+000,1.000000e+000,0.000000e+000,6.679340e+000,2.977475e+000
13983838383.8384,6.551765e-001,4.241069e-001,6.701858e+000,3.002815e+000,1.000000e+000,0.000000e+000,6.701858e+000,3.002815e+000
14040404040.4040,6.526699e-001,4.263763e-001,6.632693e+000,2.925596e+000,1.000000e+000,0.000000e+000,6.632693e+000,2.925596e+000
14096969696.9697,6.471748e-001,4.256095e-001,6.742731e+000,2.969780e+000,1.000000e+000,0.000000e+000,6.742731e+000,2.969780e+000
14153535353.5354,6.472350e-001,4.263510e-001,6.653464e+000,2.981785e+000,1.000000e+000,0.000000e+000,6.653464e+000,2.981785e+000
14210101010.1010,6.384118e-001,4.284725e-001,6.664457e+000,3.085012e+000,1.000000e+000,0.000000e+000,6.664457e+000,3.085012e+000
14266666666.6667,6.359408e-001,4.270746e-001,6.525678e+000,3.066602e+000,1.000000e+000,0.000000e+000,6.525678e+000,3.066602e+000
14323232323.2323,6.259467e-001,4.312097e-001,6.508610e+000,3.050394e+000,1.000000e+000,0.000000e+000,6.508610e+000,3.050394e+000
14379797979.7980,6.243661e-001,4.291943e-001,6.454885e+000,3.006877e+000,1.000000e+000,0.000000e+000,6.454885e+000,3.006877e+000
14436363636.3636,6.196706e-001,4.338508e-001,6.489528e+000,3.039945e+000,1.000000e+000,0.000000e+000,6.489528e+000,3.039945e+000
14492929292.9293,6.224891e-001,4.320667e-001,6.484584e+000,3.031366e+000,1.000000e+000,0.000000e+000,6.484584e+000,3.031366e+000
14549494949.4949,6.173255e-001,4.363639e-001,6.388092e+000,3.099934e+000,1.000000e+000,0.000000e+000,6.388092e+000,3.099934e+000
14606060606.0606,6.141303e-001,4.372140e-001,6.468430e+000,3.019139e+000,1.000000e+000,0.000000e+000,6.468430e+000,3.019139e+000
14662626262.6263,6.096573e-001,4.386411e-001,6.305152e+000,3.015445e+000,1.000000e+000,0.000000e+000,6.305152e+000,3.015445e+000
14719191919.1919,6.048661e-001,4.399804e-001,6.510850e+000,2.957914e+000,1.000000e+000,0.000000e+000,6.510850e+000,2.957914e+000
14775757575.7576,6.065611e-001,4.396876e-001,6.393350e+000,2.987738e+000,1.000000e+000,0.000000e+000,6.393350e+000,2.987738e+000
14832323232.3232,6.023820e-001,4.421544e-001,6.573379e+000,2.957306e+000,1.000000e+000,0.000000e+000,6.573379e+000,2.957306e+000
14888888888.8889,6.026065e-001,4.411291e-001,6.412115e+000,3.032640e+000,1.000000e+000,0.000000e+000,6.412115e+000,3.032640e+000
14945454545.4545,5.913113e-001,4.439175e-001,6.514489e+000,3.002348e+000,1.000000e+000,0.000000e+000,6.514489e+000,3.002348e+000
15002020202.0202,5.921546e-001,4.421224e-001,6.432032e+000,2.966895e+000,1.000000e+000,0.000000e+000,6.432032e+000,2.966895e+000
15058585858.5859,5.828730e-001,4.443021e-001,6.458927e+000,2.946851e+000,1.000000e+000,0.000000e+000,6.458927e+000,2.946851e+000
15115151515.1515,5.870035e-001,4.416268e-001,6.472382e+000,2.944879e+000,1.000000e+000,0.000000e+000,6.472382e+000,2.944879e+000
15171717171.7172,5.818525e-001,4.449758e-001,6.412494e+000,2.981526e+000,1.000000e+000,0.000000e+000,6.412494e+000,2.981526e+000
15228282828.2828,5.848052e-001,4.451108e-001,6.419194e+000,2.926325e+000,1.000000e+000,0.000000e+000,6.419194e+000,2.926325e+000
15284848484.8485,5.789740e-001,4.471766e-001,6.311020e+000,2.933129e+000,1.000000e+000,0.000000e+000,6.311020e+000,2.933129e+000
15341414141.4141,5.798731e-001,4.470846e-001,6.312299e+000,2.856308e+000,1.000000e+000,0.000000e+000,6.312299e+000,2.856308e+000
15397979797.9798,5.793785e-001,4.481868e-001,6.257782e+000,2.842279e+000,1.000000e+000,0.000000e+000,6.257782e+000,2.842279e+000
15454545454.5455,5.816850e-001,4.512267e-001,6.269312e+000,2.751785e+000,1.000000e+000,0.000000e+000,6.269312e+000,2.751785e+000
15511111111.1111,5.832856e-001,4.522777e-001,6.246946e+000,2.782310e+000,1.000000e+000,0.000000e+000,6.246946e+000,2.782310e+000
15567676767.6768,5.822777e-001,4.560648e-001,6.264950e+000,2.703092e+000,1.000000e+000,0.000000e+000,6.264950e+000,2.703092e+000
15624242424.2424,5.820339e-001,4.541358e-001,6.227433e+000,2.749099e+000,1.000000e+000,0.000000e+000,6.227433e+000,2.749099e+000
15680808080.8081,5.769520e-001,4.567451e-001,6.230530e+000,2.669242e+000,1.000000e+000,0.000000e+000,6.230530e+000,2.669242e+000
15737373737.3737,5.798324e-001,4.577144e-001,6.198085e+000,2.669289e+000,1.000000e+000,0.000000e+000,6.198085e+000,2.669289e+000
15793939393.9394,5.755464e-001,4.602091e-001,6.257297e+000,2.606110e+000,1.000000e+000,0.000000e+000,6.257297e+000,2.606110e+000
15850505050.5051,5.770811e-001,4.611115e-001,6.242587e+000,2.634348e+000,1.000000e+000,0.000000e+000,6.242587e+000,2.634348e+000
15907070707.0707,5.715799e-001,4.615933e-001,6.272035e+000,2.613381e+000,1.000000e+000,0.000000e+000,6.272035e+000,2.613381e+000
15963636363.6364,5.709557e-001,4.614845e-001,6.244954e+000,2.633807e+000,1.000000e+000,0.000000e+000,6.244954e+000,2.633807e+000
16020202020.2020,5.669898e-001,4.633879e-001,6.241098e+000,2.586136e+000,1.000000e+000,0.000000e+000,6.241098e+000,2.586136e+000
16076767676.7677,5.652603e-001,4.638932e-001,6.249290e+000,2.585801e+000,1.000000e+000,0.000000e+000,6.249290e+000,2.585801e+000
16133333333.3333,5.632754e-001,4.662108e-001,6.255554e+000,2.546761e+000,1.000000e+000,0.000000e+000,6.255554e+000,2.546761e+000
16189898989.8990,5.591274e-001,4.641678e-001,6.273328e+000,2.580190e+000,1.000000e+000,0.000000e+000,6.273328e+000,2.580190e+000
16246464646.4646,5.571202e-001,4.659957e-001,6.255620e+000,2.561539e+000,1.000000e+000,0.000000e+000,6.255620e+000,2.561539e+000
16303030303.0303,5.539850e-001,4.653977e-001,6.250225e+000,2.567951e+000,1.000000e+000,0.000000e+000,6.250225e+000,2.567951e+000
16359595959.5960,5.517055e-001,4.666324e-001,6.265468e+000,2.559593e+000,1.000000e+000,0.000000e+000,6.265468e+000,2.559593e+000
16416161616.1616,5.499325e-001,4.675591e-001,6.242747e+000,2.556381e+000,1.000000e+000,0.000000e+000,6.242747e+000,2.556381e+000
16472727272.7273,5.443165e-001,4.668805e-001,6.252856e+000,2.565959e+000,1.000000e+000,0.000000e+000,6.252856e+000,2.565959e+000
16529292929.2929,5.427046e-001,4.687871e-001,6.227719e+000,2.532551e+000,1.000000e+000,0.000000e+000,6.227719e+000,2.532551e+000
16585858585.8586,5.377685e-001,4.674891e-001,6.245434e+000,2.554290e+000,1.000000e+000,0.000000e+000,6.245434e+000,2.554290e+000
16642424242.4242,5.406097e-001,4.707079e-001,6.222271e+000,2.519550e+000,1.000000e+000,0.000000e+000,6.222271e+000,2.519550e+000
16698989898.9899,5.347695e-001,4.690218e-001,6.251999e+000,2.565493e+000,1.000000e+000,0.000000e+000,6.251999e+000,2.565493e+000
16755555555.5556,5.351682e-001,4.710430e-001,6.210650e+000,2.519801e+000,1.000000e+000,0.000000e+000,6.210650e+000,2.519801e+000
16812121212.1212,5.279697e-001,4.707929e-001,6.224059e+000,2.533284e+000,1.000000e+000,0.000000e+000,6.224059e+000,2.533284e+000
16868686868.6869,5.264021e-001,4.712218e-001,6.196756e+000,2.484500e+000,1.000000e+000,0.000000e+000,6.196756e+000,2.484500e+000
16925252525.2525,5.239233e-001,4.728673e-001,6.228452e+000,2.489229e+000,1.000000e+000,0.000000e+000,6.228452e+000,2.489229e+000
16981818181.8182,5.232717e-001,4.719606e-001,6.222943e+000,2.466709e+000,1.000000e+000,0.000000e+000,6.222943e+000,2.466709e+000
17038383838.3838,5.224462e-001,4.741654e-001,6.218565e+000,2.479240e+000,1.000000e+000,0.000000e+000,6.218565e+000,2.479240e+000
17094949494.9495,5.155144e-001,4.726324e-001,6.209684e+000,2.460837e+000,1.000000e+000,0.000000e+000,6.209684e+000,2.460837e+000
17151515151.5152,5.152147e-001,4.742134e-001,6.182533e+000,2.459204e+000,1.000000e+000,0.000000e+000,6.182533e+000,2.459204e+000
17208080808.0808,5.072177e-001,4.733206e-001,6.201252e+000,2.419353e+000,1.000000e+000,0.000000e+000,6.201252e+000,2.419353e+000
17264646464.6465,5.115374e-001,4.744545e-001,6.171305e+000,2.423413e+000,1.000000e+000,0.000000e+000,6.171305e+000,2.423413e+000
17321212121.2121,5.042638e-001,4.742917e-001,6.211286e+000,2.403916e+000,1.000000e+000,0.000000e+000,6.211286e+000,2.403916e+000
17377777777.7778,5.076881e-001,4.742369e-001,6.155039e+000,2.426723e+000,1.000000e+000,0.000000e+000,6.155039e+000,2.426723e+000
17434343434.3434,4.990138e-001,4.746357e-001,6.176283e+000,2.410434e+000,1.000000e+000,0.000000e+000,6.176283e+000,2.410434e+000
17490909090.9091,5.002607e-001,4.738822e-001,6.112540e+000,2.408294e+000,1.000000e+000,0.000000e+000,6.112540e+000,2.408294e+000
17547474747.4747,4.947726e-001,4.751797e-001,6.135790e+000,2.395329e+000,1.000000e+000,0.000000e+000,6.135790e+000,2.395329e+000
17604040404.0404,4.948665e-001,4.744073e-001,6.114152e+000,2.379982e+000,1.000000e+000,0.000000e+000,6.114152e+000,2.379982e+000
17660606060.6061,4.927207e-001,4.762906e-001,6.127572e+000,2.391676e+000,1.000000e+000,0.000000e+000,6.127572e+000,2.391676e+000
17717171717.1717,4.901348e-001,4.745560e-001,6.116483e+000,2.386405e+000,1.000000e+000,0.000000e+000,6.116483e+000,2.386405e+000
17773737373.7374,4.895401e-001,4.765415e-001,6.083255e+000,2.409264e+000,1.000000e+000,0.000000e+000,6.083255e+000,2.409264e+000
17830303030.3030,4.834878e-001,4.758273e-001,6.084755e+000,2.384786e+000,1.000000e+000,0.000000e+000,6.084755e+000,2.384786e+000
17886868686.8687,4.835895e-001,4.772094e-001,6.064051e+000,2.385239e+000,1.000000e+000,0.000000e+000,6.064051e+000,2.385239e+000
17943434343.4343,4.782674e-001,4.780073e-001,6.076917e+000,2.362947e+000,1.000000e+000,0.000000e+000,6.076917e+000,2.362947e+000
18000000000.0000,4.784914e-001,4.767180e-001,6.079221e+000,2.381612e+000,1.000000e+000,0.000000e+000,6.079221e+000,2.381612e+000

